Gene	SRX895699	SRX895700	SRX895701	SRX895702	SRX895703	SRX895707	SRX126904	SRX365397	SRX122682	ERX472120	ERX472113	ERX472118	SRX895708	SRX895709	SRX895704	SRX895705	SRX895706	SRX104403	SRX104405	SRX104404	SRX1176826	SRX1176825	SRX1176827	SRX1176828	ERX472110	ERX472115	ERX472117	SRX126903	SRX895710	SRX895711	SRX895712	SRX895698
PP1S145_168V6	-0.111328	-1.565019	0.426022	0.412775	0.583879	0.253671	1.443538	-1.031618	-0.411921	0.000000	0.020064	-0.020064	0.000000	0.364526	0.187399	0.183428	0.270611	-1.310762	-1.315591	-1.307618	0.218765	0.368074	0.376758	0.274336	0.234137	0.290984	0.614838	0.550116	0.222093	0.111248	-0.013012	-0.320327
PP1S14_179V6	0.287739	-2.020931	0.286486	0.406549	0.318908	0.721249	2.539872	-1.579784	-0.960087	0.000000	0.004621	-0.004620	0.000000	0.641153	-0.680316	-0.472530	0.165190	-2.090192	-2.095021	-2.087048	0.402511	1.021881	0.638373	0.956857	0.688210	0.648307	0.731921	1.530711	-0.005992	0.063871	0.133720	-0.191598
PP1S150_31V6	-0.178402	-1.052846	0.241793	0.207332	0.134742	0.647382	1.415667	-1.017682	-0.397985	0.000000	-0.066888	0.066888	0.000000	0.707771	0.064598	0.187670	-0.125107	-1.087679	-1.092508	-1.084535	-0.165594	0.193179	0.097310	-0.072332	0.676060	0.423853	0.859699	0.417613	0.233003	0.041747	0.152588	-0.427339
PP1S156_168V6	0.008721	-1.098107	0.211634	0.043666	0.072114	0.761974	0.341688	-0.480693	0.139004	0.000000	0.023438	-0.023438	0.000000	0.773978	0.497637	0.446603	0.452512	-0.918004	-0.922833	-0.914860	0.145188	0.280947	0.051717	0.475404	0.316673	-0.004759	-0.067475	-0.612724	-0.254976	-0.067209	0.099174	0.223012
PP1S162_11V6	0.055764	-0.604476	-0.039657	0.030033	-0.070068	0.628403	0.118452	-0.369074	0.250623	0.000000	0.046036	-0.046035	0.000000	0.511059	-0.851882	-0.653974	-0.922935	-0.864438	-0.869267	-0.861294	0.781236	0.926797	0.258894	1.014059	0.962422	0.743352	1.023082	-1.197107	-0.174046	0.146820	0.038502	-0.011274
PP1S174_20V6	-0.488558	-1.232160	0.378727	0.693999	0.775522	-0.127528	0.853133	-0.736415	-0.116718	0.000000	0.086072	-0.086072	0.000000	0.012157	1.078920	1.063501	1.060143	-1.232506	-1.237335	-1.229362	0.911521	-0.298941	0.732320	0.439328	0.099221	-0.221805	-0.267391	-0.909768	0.121140	0.060750	0.058004	-0.239894
PP1S178_40V6	0.658766	-1.908256	0.337610	0.403849	0.549885	-0.041857	1.329624	-0.974661	-0.354964	0.000000	-0.042645	0.042645	0.000000	0.173687	0.413792	0.385348	0.431389	-1.587752	-1.592581	-1.584608	0.044278	0.020511	0.457222	0.450213	0.865216	0.652495	0.703475	0.167319	0.048785	-0.014453	-0.073684	0.039351
PP1S17_10V6	-0.073642	-0.476397	0.075295	0.103781	0.309587	0.061376	0.499636	-0.559667	0.060030	0.000000	0.080489	-0.080488	0.000000	0.187904	0.179961	0.074787	0.026048	-0.366148	-0.370977	-0.363004	-0.122554	0.011561	0.161458	0.092045	0.257320	0.058122	-0.014600	0.188081	0.004436	0.045347	0.040587	-0.090369
PP1S180_15V6	0.151871	-0.552468	-0.228294	0.047524	0.100755	0.480611	0.027014	1.088207	-1.115221	0.000000	-0.031510	0.031510	0.000000	0.316708	0.143067	0.068771	0.115346	-0.687663	-0.692492	-0.684519	0.191383	0.027658	0.106962	0.421719	0.067753	0.122886	0.079290	0.403133	-0.020009	-0.021666	-0.030370	0.072045
PP1S189_64V6	0.058173	-0.744503	0.073399	0.165419	0.374727	0.072783	0.510146	-0.564921	0.054776	0.000000	-0.017235	0.017235	0.000000	0.111233	0.441474	0.279613	0.255268	-0.663160	-0.667989	-0.660016	0.066052	0.064310	0.245886	0.139053	0.194137	0.135887	0.263383	-0.205131	0.066049	-0.009145	0.028640	-0.085544
PP1S192_6V6	0.436539	-1.352177	0.227872	0.175207	0.174903	0.337658	-0.291622	1.339679	-1.048056	0.000000	0.006767	-0.006767	0.000000	0.274739	-0.422809	-0.268750	-0.272252	-1.366259	-1.371088	-1.363115	0.666733	0.616406	0.310059	1.095337	0.963172	0.938097	0.828610	-0.628877	-0.127022	-0.032008	-0.121419	0.280448
PP1S194_6V6	-0.072152	-0.610640	0.079492	-0.148672	-0.004877	0.756848	0.492969	-0.556333	0.063364	0.000000	-0.209118	0.209118	0.000000	0.072693	-0.318827	-0.190589	-0.254145	-1.080399	-1.085228	-1.077255	0.310242	0.253710	-0.267034	0.493886	1.197922	1.442487	1.403295	-0.900751	-0.222337	0.312596	-0.031630	-0.058628
PP1S197_19V6	0.128904	-0.260993	-0.185337	-0.040736	0.062675	0.295489	-0.251255	1.057973	-0.806717	0.000000	0.077494	-0.077495	0.000000	0.184508	0.096208	0.033950	-0.012400	-0.248700	-0.253529	-0.245556	-0.150534	-0.058063	0.242134	-0.079428	0.153326	-0.018146	-0.034692	0.390927	-0.018980	-0.141083	-0.067963	0.228026
PP1S197_61V6	0.076728	-0.680489	0.273729	0.346108	0.410915	-0.426990	0.075809	0.976928	-1.052736	0.000000	0.070142	-0.070142	0.000000	-0.534185	0.678570	0.484175	0.529893	-0.737867	-0.742696	-0.734723	0.245289	0.006652	0.476527	0.299922	-0.209172	-0.131858	-0.017543	0.387021	0.023194	0.005275	-0.056415	0.027947
PP1S1_804V6	0.202167	-0.849992	-0.050576	0.241015	0.142827	0.314559	0.556242	-0.587969	0.031728	0.000000	-0.044595	0.044595	0.000000	0.414905	0.566781	0.518538	0.407017	-0.604895	-0.609724	-0.601751	-0.048127	-0.222294	-0.111867	0.222875	0.258160	0.067016	-0.169769	-0.086863	-0.100818	-0.039544	-0.119672	0.260035
PP1S1_828V6	-0.094279	-1.981936	1.066859	0.791405	0.623665	-0.405711	1.403532	-1.011615	-0.391918	0.000000	0.108694	-0.108694	0.000000	0.132820	0.960707	1.181299	1.095266	-1.756314	-1.761143	-1.753170	0.620434	-0.267102	0.419880	0.158458	0.132820	0.758139	0.639623	-0.561724	0.031110	-0.194603	-0.022441	0.185935
PP1S203_65V6	0.095365	-1.586031	0.254816	0.482782	0.530645	0.222423	-0.146476	1.425307	-1.278832	0.000000	-0.003629	0.003629	0.000000	0.391914	0.774036	0.781722	0.728186	-1.436489	-1.441318	-1.433345	0.180017	0.198726	0.198077	0.586761	0.526095	0.256655	0.197496	-0.508532	-0.056185	0.023581	-0.045687	0.078290
PP1S214_57V6	0.362633	-1.497727	0.185696	0.525817	0.646379	-0.222799	0.109044	1.220101	-1.329145	0.000000	-0.041726	0.041726	0.000000	-0.135262	1.115412	0.818381	0.765497	-1.418901	-1.423730	-1.415757	0.527874	0.223275	0.433875	0.736661	-0.024875	0.065084	0.088878	-0.356408	-0.140089	-0.160585	-0.202237	0.502912
PP1S218_23V6	-0.418613	-0.904349	0.136076	0.226073	0.394682	0.566129	0.952854	-0.786275	-0.166578	0.000000	-0.650038	0.650038	0.000000	0.765942	0.132867	0.508573	0.184311	-0.843231	-0.848060	-0.840087	0.105288	0.286824	0.079991	0.483544	-0.009548	0.013520	-0.011377	-0.008552	0.106926	-0.061659	0.031571	-0.076837
PP1S224_46V6	-0.162684	-1.298822	0.356402	0.296403	0.305113	0.503587	1.321665	-0.970681	-0.350984	0.000000	0.033952	-0.033952	0.000000	0.438164	-0.180704	-0.243655	-0.228960	-1.395206	-1.400035	-1.392062	0.518559	0.672508	0.268372	0.495757	0.719275	0.620412	0.681981	0.425599	-0.040485	0.154016	-0.009930	-0.103602
PP1S226_44V6	0.503057	-0.916000	-0.081497	0.041744	-0.071557	0.524254	1.276739	-0.948218	-0.328521	0.000000	-0.002507	0.002507	0.000000	-0.042392	-0.274638	-0.109095	-0.159658	-1.214068	-1.218897	-1.210924	0.224463	0.385266	0.331833	0.693770	0.616565	0.712160	0.820482	0.445128	0.044105	0.014413	-0.115665	0.057147
PP1S227_133V6	1.302783	-2.253856	-0.076561	0.036297	0.101990	0.889344	-0.840562	2.126239	-1.285676	0.000000	0.002588	-0.002588	0.000000	1.181056	-0.945197	-0.657198	-0.637132	-1.917852	-1.922681	-1.914708	0.736278	1.151079	0.846085	1.351833	1.285857	1.423479	1.277909	-1.258804	-0.164312	-0.105336	-0.089811	0.359458
PP1S227_54V6	0.144416	-0.892102	0.367818	0.192891	0.196424	-0.009447	1.108157	-0.863927	-0.244230	0.000000	0.052906	-0.052907	0.000000	0.016753	0.384019	0.408267	0.389715	-0.909327	-0.914156	-0.906183	0.359995	-0.039540	0.593485	-0.287953	0.092019	0.110825	0.287008	0.415067	0.178559	0.001494	0.027813	-0.207865
PP1S229_7V6	0.810554	-2.219766	0.784946	0.612801	0.578906	-0.567439	1.541278	-1.080488	-0.460791	0.000000	0.034358	-0.034358	0.000000	0.007317	1.619656	1.595036	1.544647	-1.932483	-1.937312	-1.929339	0.509187	-0.496017	0.786853	0.333626	-0.122650	-0.014438	-0.058452	0.094373	-0.085993	-0.184335	-0.169993	0.440320
PP1S23_56V6	0.781661	-1.172849	0.183151	0.125000	0.007774	0.075265	0.045166	1.019175	-1.064342	0.000000	-0.001664	0.001664	0.000000	0.347081	0.268229	0.142738	0.399651	-0.845012	-0.849841	-0.841868	-0.022883	-0.048631	0.154723	0.047529	0.214394	0.223150	0.190159	0.620587	-0.122628	-0.042918	-0.053883	0.219427
PP1S23_71V6	-0.011309	-0.300529	-0.121424	0.204368	-0.148843	0.377738	0.382540	-0.501119	0.118578	0.000000	-0.003140	0.003139	0.000000	0.129607	-0.188507	-0.332078	-0.230103	-0.435907	-0.440736	-0.432763	-0.042177	0.321360	0.050645	-0.052686	0.382637	0.378698	0.452906	0.439098	0.055343	0.027640	-0.048955	-0.034029
PP1S245_2V6	0.636950	-2.299376	0.334761	0.377069	0.370559	0.580036	-0.339368	2.285336	-1.945968	0.000000	0.017441	-0.017442	0.000000	0.651348	-1.042182	-0.965751	-0.822729	-2.354680	-2.359509	-2.351536	1.283423	1.698613	1.465110	1.404806	1.160379	1.280081	1.344325	-0.391701	-0.053669	0.112285	0.149269	-0.207884
PP1S245_58V6	0.620171	-0.881820	0.025651	-0.293227	0.034286	0.494939	-1.586641	2.596766	-1.010124	0.000000	-0.015358	0.015357	0.000000	0.351989	-0.855518	-0.887403	-0.853114	-1.227356	-1.232185	-1.224212	0.724003	1.215716	0.731794	1.255439	1.237646	1.127154	1.118288	-1.482234	-0.048354	-0.202808	-0.092367	0.343530
PP1S251_36V6	0.077576	-2.062063	0.455243	0.520892	0.446017	0.562337	0.562246	0.929165	-1.491410	0.000000	0.025677	-0.025677	0.000000	0.488610	-0.031972	0.129841	0.146026	-2.046111	-2.050940	-2.042967	0.751561	0.804927	0.721470	0.741798	0.820628	0.836838	0.768568	-0.038279	-0.016944	0.124270	-0.003306	-0.104019
PP1S269_53V6	0.240510	-1.828303	0.856653	0.753730	0.706844	-0.729434	0.599978	-0.609838	0.009859	0.000000	0.021405	-0.021405	0.000000	-0.327761	0.538912	0.456652	0.282412	-1.403222	-1.408051	-1.400078	0.625162	0.629052	0.989189	0.823521	0.010445	0.198623	0.160609	-0.175466	0.025583	0.092524	0.081709	-0.199815
PP1S285_41V6	0.094430	-0.647130	-0.022243	0.126313	0.101392	0.347240	0.604783	-0.612240	0.007457	0.000000	0.049172	-0.049172	0.000000	0.384849	0.248512	0.196316	0.196316	-0.539908	-0.544737	-0.536764	-0.057318	0.142026	-0.010199	0.022372	0.298933	0.013612	0.099845	0.086151	0.029330	-0.125776	-0.067479	0.163924
PP1S293_27V6	-0.202654	-1.641034	0.040954	0.414439	0.510786	0.877512	1.581000	-1.100349	-0.480652	0.000000	-0.023856	0.023855	0.000000	0.448999	0.136567	0.063705	0.117511	-1.814792	-1.819621	-1.811648	0.230182	0.547652	0.407665	0.551477	0.902229	0.791913	0.976728	0.271429	-0.050423	0.099279	-0.028062	-0.020796
PP1S313_74V6	0.078268	-0.449990	-0.101059	-0.063752	0.149845	0.386688	0.908092	-0.763895	-0.144198	0.000000	-0.088005	0.088005	0.000000	0.131379	0.021131	-0.217974	-0.026093	-0.593100	-0.597929	-0.589956	-0.081699	0.169094	0.203379	0.304299	0.295713	0.315531	0.267561	0.398665	0.016814	0.058483	-0.052405	-0.022891
PP1S31_128V6	0.341064	-2.889706	0.533597	0.606547	0.589776	0.818722	2.520071	-1.569884	-0.950187	0.000000	-0.015685	0.015685	0.000000	0.940293	0.017899	0.060127	0.000354	-2.685774	-2.690603	-2.682630	0.904700	0.940293	0.599746	0.724952	1.002092	1.031939	1.102848	0.733765	0.117387	0.037416	0.108989	-0.263791
PP1S31_142V6	0.726013	-1.468455	0.170374	0.076419	0.103746	0.391905	1.491126	-1.055411	-0.435714	0.000000	-0.026546	0.026547	0.000000	0.410486	0.170608	0.316216	0.317311	-1.477416	-1.482245	-1.474272	0.036571	-0.128778	0.133570	0.054370	0.911561	0.912798	0.911168	0.388054	0.017359	-0.068323	-0.078325	0.129290
PP1S341_24V6	0.495542	-1.506510	-0.176667	-0.235767	0.110753	1.312647	1.132810	-0.876254	-0.256557	0.000000	0.028076	-0.028076	0.000000	0.728937	0.040882	-0.005665	0.060944	-1.929255	-1.934084	-1.926111	0.360292	0.862265	0.293903	1.420314	0.882080	0.758781	0.751998	-0.365283	-0.041672	-0.123043	-0.052919	0.217634
PP1S347_28V6	0.246178	-0.524858	-0.286337	-0.163154	-0.097506	0.825676	0.307878	-0.463788	0.155909	0.000000	0.062882	-0.062882	0.000000	0.468432	-1.011984	-0.624812	-0.673546	-0.884402	-0.889231	-0.881258	0.602440	0.798514	0.384920	1.198471	0.661914	0.774970	0.998173	-0.922606	0.012111	-0.090905	-0.095837	0.174632
PP1S351_33V6	-0.264978	-0.579649	0.026331	0.026331	-0.015374	0.807342	-0.582523	1.428609	-0.846086	0.000000	-0.033692	0.033692	0.000000	0.584938	0.042038	0.050676	-0.039597	-0.651121	-0.655950	-0.647977	0.012682	0.025711	0.014175	0.814478	0.619788	0.199569	0.304900	-0.674310	-0.094529	0.023536	-0.139021	0.210013
PP1S351_43V6	0.067726	-0.956503	0.227810	0.152014	0.229150	0.279801	0.661888	-0.640792	-0.021095	0.000000	0.003678	-0.003678	0.000000	0.525404	0.262741	0.267668	0.203975	-0.667427	-0.672256	-0.664283	0.044817	-0.005022	0.159761	-0.099902	0.303294	0.175887	0.090454	0.074891	-0.017431	0.073184	0.091959	-0.147711
PP1S370_60V6	0.096819	-1.291280	0.394722	0.177809	0.267040	0.354892	-0.642477	1.788327	-1.145849	0.000000	0.050490	-0.050490	0.000000	0.232975	0.462819	0.585811	0.529659	-1.373851	-1.378680	-1.370707	0.408218	0.732925	0.027177	0.609296	0.486846	0.275948	0.189688	-0.418130	-0.058700	0.135444	0.043854	-0.120598
PP1S3_554V6	0.157153	-0.124443	-0.043337	-0.094155	0.072761	0.032021	0.809710	-0.714704	-0.095007	0.000000	-0.333842	0.333841	0.000000	-0.406451	-0.089234	0.093684	-0.116337	-0.426718	-0.431547	-0.423574	0.454328	0.606097	0.023603	0.641712	-0.277555	-0.002953	-0.165089	0.520036	0.013452	0.178300	-0.109029	-0.082721
PP1S406_14V6	0.224924	-1.063108	0.116262	0.184589	0.170612	0.366723	0.936518	-0.778107	-0.158410	0.000000	-0.022276	0.022277	0.000000	0.498683	0.336252	0.213934	0.166966	-0.784779	-0.789608	-0.781635	0.046088	0.078154	0.010757	0.076936	0.287502	0.163606	0.248257	0.228890	0.028589	-0.051055	-0.008671	0.031137
PP1S40_279V6	0.376107	-1.460634	0.337602	0.101950	0.034717	0.610260	1.137975	-0.878836	-0.259139	0.000000	-0.018483	0.018483	0.000000	0.712989	0.100758	0.141745	0.157169	-1.339458	-1.344287	-1.336314	0.686725	0.245354	0.640958	0.161376	0.277199	0.348062	0.351374	0.196346	-0.177659	0.117674	-0.052876	0.112859
PP1S40_304V6	0.574847	-1.395376	-0.139014	-0.120084	-0.096176	1.175801	0.475775	1.085225	-1.561000	0.000000	0.065694	-0.065694	0.000000	0.842238	-0.502873	-0.370509	-0.432986	-1.606568	-1.611397	-1.603424	0.362026	0.835102	0.076565	1.089427	0.828514	0.787791	0.842238	0.463855	-0.122754	-0.029525	-0.003843	0.156121
PP1S41_307V6	0.054656	-0.197321	-0.210584	0.025284	-0.074875	0.402837	0.325712	-0.472705	0.146992	0.000000	-0.011753	0.011753	0.000000	0.307091	0.243021	0.238542	0.280955	-0.125061	-0.129890	-0.121917	-0.342329	-0.044657	-0.097210	-0.116660	0.074449	-0.111920	-0.028861	-0.025559	-0.028707	0.038338	-0.050132	0.040500
PP1S457_19V6	0.721458	-0.250696	-0.329088	-0.291352	-0.340592	0.490270	-1.112886	1.881075	-0.768188	0.000000	-0.045955	0.045955	0.000000	-0.237362	-0.755648	-0.522314	-0.388660	-0.911709	-0.916538	-0.908565	0.660303	0.648084	1.214298	1.033454	0.869198	0.662279	0.903922	-1.350737	-0.141762	0.073435	-0.184374	0.252703
PP1S459_8V6	0.109468	-1.227552	0.320714	0.188142	0.223962	0.385268	-0.312671	1.204869	-0.892198	0.000000	0.064312	-0.064312	0.000000	0.604789	-0.215967	-0.094140	-0.176593	-0.926828	-0.931657	-0.923684	-0.022111	0.294662	0.065880	0.255863	0.880885	0.716896	0.694006	-0.221996	-0.011785	0.136432	0.175241	-0.299888
PP1S475_13V6	-0.170394	-0.849145	0.083831	0.308097	0.253429	0.374183	0.446042	-0.532870	0.086827	0.000000	-0.039385	0.039385	0.000000	0.412456	0.553302	0.368726	0.380079	-0.682757	-0.687586	-0.679613	0.072659	0.091754	0.006592	0.227428	0.167314	0.088091	0.105227	-0.423665	0.040926	-0.056137	0.032985	-0.017775
PP1S51_31V6	0.347838	-0.748378	-0.012438	0.004552	-0.101022	0.509448	1.120431	-0.870064	-0.250367	0.000000	0.106686	-0.106687	0.000000	0.490870	0.081298	0.009525	-0.068793	-0.705052	-0.709881	-0.701908	-0.173329	0.065872	-0.056464	0.275399	0.214980	0.248593	0.454033	0.574856	0.002345	-0.100929	0.027053	0.071530
PP1S52_161V6	-0.229329	-0.718505	0.140097	0.185274	0.148507	0.473954	0.085972	-0.352835	0.266862	0.000000	-0.007667	0.007667	0.000000	0.405433	-0.248274	-0.220024	-0.231356	-0.662997	-0.667826	-0.659853	0.192021	0.524460	0.020384	0.493931	0.530843	0.501815	0.517086	-0.495649	-0.068851	0.047220	0.186685	-0.165054
PP1S60_178V6	-0.198510	-1.838142	0.413185	0.488114	0.523064	0.612290	1.510806	-1.065252	-0.445555	0.000000	0.062460	-0.062460	0.000000	0.844126	0.662524	0.317370	0.299520	-1.276582	-1.281411	-1.273438	0.148696	-0.060606	0.131841	0.184973	0.212005	0.244515	0.156454	0.690019	0.249777	-0.039000	-0.015968	-0.194807
PP1S6_407V6	0.627946	-1.183981	-0.023545	-0.112568	0.034415	0.657732	-0.132664	1.042999	-0.910335	0.000000	0.064360	-0.064361	0.000000	0.374465	-0.172561	-0.160469	-0.149027	-1.393366	-1.398195	-1.390222	0.626669	0.840732	0.079761	1.140672	0.879248	0.823533	0.706076	-0.807315	-0.186537	-0.161078	-0.129106	0.476720
PP1S71_43V6	0.047987	-1.218285	0.360377	0.297068	0.269628	0.243224	0.530726	-0.575211	0.044486	0.000000	-0.064058	0.064058	0.000000	0.648720	0.596308	0.635919	0.731023	-0.857740	-0.862569	-0.854596	0.129346	-0.002560	0.028332	-0.115173	0.013399	0.157223	-0.129094	-0.118531	-0.003931	0.069130	0.041211	-0.106411
PP1S74_84V6	0.212079	-0.850442	-0.089756	0.132091	0.244807	0.351222	-0.064834	1.166510	-1.101676	0.000000	-0.072055	0.072055	0.000000	0.300899	0.121859	0.101065	0.266815	-0.890053	-0.894882	-0.886909	-0.009968	0.315913	0.200290	0.231768	0.424077	0.342459	0.358474	0.018187	-0.058390	0.012990	-0.055280	0.100682
PP1S79_23V6	-0.050261	-2.232668	0.641396	0.501043	0.630541	0.509947	2.382298	-1.500997	-0.881300	0.000000	-0.051223	0.051223	0.000000	0.790104	0.052942	-0.073492	-0.322482	-2.224236	-2.229065	-2.221092	0.519924	0.565992	0.621796	0.467688	0.877562	0.874672	1.079740	1.219953	0.254479	-0.189854	0.132822	-0.197449
PP1S80_119V6	0.214546	-2.122018	0.880993	0.871470	0.779005	-0.623994	1.146273	-0.882985	-0.263288	0.000000	0.006050	-0.006050	0.000000	0.052072	1.308062	1.394452	1.436734	-2.108047	-2.112876	-2.104903	0.610239	0.283407	0.499618	0.372214	0.293986	0.501674	0.438268	-0.864896	0.060583	-0.060314	-0.042718	0.042448
PP1S81_42V6	-0.238393	-0.860434	0.394635	0.221728	0.267495	0.214967	0.498961	-0.559329	0.060368	0.000000	0.109245	-0.109245	0.000000	0.231514	0.449513	0.605124	0.630342	-0.831525	-0.836354	-0.828381	0.492018	0.183567	0.133001	0.062006	0.336061	0.135803	0.007316	-0.770011	0.015194	0.106886	0.078751	-0.200831
PP1S84_210V6	0.456513	-1.482841	0.341498	0.085246	0.170490	0.429094	1.474100	-1.046899	-0.427202	0.000000	0.053999	-0.053999	0.000000	0.345984	0.633937	0.445629	0.475953	-1.217555	-1.222384	-1.214411	0.116676	0.150814	0.297633	0.119452	0.157042	0.157470	0.112021	0.641732	-0.114177	-0.106182	-0.167910	0.388270
PP1S93_72V6	-0.428670	-0.714512	0.316283	0.377933	0.325271	0.123697	0.199898	-0.409798	0.209899	0.000000	0.021815	-0.021814	0.000000	0.091728	0.796027	0.848500	0.763373	-0.663688	-0.668517	-0.660544	0.119693	-0.024249	0.035667	0.190905	-0.071198	-0.101609	-0.244964	-0.411123	0.027333	-0.068050	0.023232	0.017486
PP1S94_153V6	-0.216042	-0.788604	0.319913	0.290140	0.102209	0.292383	1.259362	-0.939529	-0.319832	0.000000	0.054681	-0.054681	0.000000	0.144463	0.412494	0.277794	0.244842	-0.957892	-0.962721	-0.954748	0.138182	-0.227998	0.394786	0.284456	0.264893	0.292892	0.221096	0.427463	0.254578	-0.211733	0.036920	-0.079764
PP1S9_208V6	-0.106700	-0.131481	-0.381977	-0.031313	0.179062	0.472408	0.630293	-0.624995	-0.005298	0.000000	-0.031954	0.031955	0.000000	-0.104160	-0.516850	-0.768736	-0.419633	-0.392754	-0.397583	-0.389610	-0.237369	0.548868	0.172146	0.208495	0.861698	0.514293	0.255344	0.665854	0.176689	0.072089	0.141091	-0.389870
